name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Order: Light Escort,automatic_orders_escort_light,0,,Automatic Orders,,,0,TRUE,,,0,0,0,0,com.github.isturdy.automaticorders.hullmods.EscortLight,Assigns the ship a light escort order when it joins the battle.,Assigns the ship a light escort order when it joins the battle.,graphics/automatic_orders/hullmods/escort_light.png
Order: Medium Escort,automatic_orders_escort_medium,0,,Automatic Orders,,,0,TRUE,,,0,0,0,0,com.github.isturdy.automaticorders.hullmods.EscortMedium,Assigns the ship a medium escort order when it joins the battle.,Assigns the ship a medium escort order when it joins the battle.,graphics/automatic_orders/hullmods/escort_medium.png
Order: Heavy Escort,automatic_orders_escort_heavy,0,,Automatic Orders,,,0,TRUE,,,0,0,0,0,com.github.isturdy.automaticorders.hullmods.EscortHeavy,Assigns the ship a heavy escort order when it joins the battle.,Assigns the ship a heavy escort order when it joins the battle.,graphics/automatic_orders/hullmods/escort_heavy.png
Order: Search and Destroy,automatic_orders_search_and_destroy,0,,Automatic Orders,,,0,TRUE,,,0,0,0,0,com.github.isturdy.automaticorders.hullmods.OrderSearchAndDestroy,Gives the ship a search-and-destroy order when it joins the battle.,Gives the ship a search-and-destroy order when it joins the battle.,graphics/automatic_orders/hullmods/search_and_destroy.png
Personality Override: Reckless,automatic_orders_personality_reckless,0,,Automatic Orders,,,0,TRUE,,,0,0,0,0,com.github.isturdy.automaticorders.hullmods.PersonalityOverrideReckless,Sets the ship's personality to reckless. (Does not override officer personality by default.),Sets the ship's personality to reckless.,graphics/automatic_orders/hullmods/personality_reckless.png
Personality Override: Aggressive,automatic_orders_personality_aggressive,0,,Automatic Orders,,,0,TRUE,,,0,0,0,0,com.github.isturdy.automaticorders.hullmods.PersonalityOverrideAggressive,Sets the ship's personality to aggressive. (Does not override officer personality by default.),Sets the ship's personality to aggressive.,graphics/automatic_orders/hullmods/personality_aggressive.png
Personality Override: Steady,automatic_orders_personality_steady,0,,Automatic Orders,,,0,TRUE,,,0,0,0,0,com.github.isturdy.automaticorders.hullmods.PersonalityOverrideSteady,Sets the ship's personality to steady.,Sets the ship's personality to steady. (Does not override officer personality by default.),graphics/automatic_orders/hullmods/personality_steady.png
Personality Override: Cautious,automatic_orders_personality_cautious,0,,Automatic Orders,,,0,TRUE,,,0,0,0,0,com.github.isturdy.automaticorders.hullmods.PersonalityOverrideCautious,Sets the ship's personality to cautious. (Does not override officer personality by default.),Sets the ship's personality to cautious.,graphics/automatic_orders/hullmods/personality_cautious.png
Personality Override: Timid,automatic_orders_personality_timid,0,,Automatic Orders,,,0,TRUE,,,0,0,0,0,com.github.isturdy.automaticorders.hullmods.PersonalityOverrideTimid,Sets the ship's personality to timid.,Sets the ship's personality to timid. (Does not override officer personality by default.),graphics/automatic_orders/hullmods/personality_timid.png
Order: Direct Retreat,automatic_orders_direct_retreat,0,,Automatic Orders,,,0,TRUE,,,0,0,0,0,com.github.isturdy.automaticorders.hullmods.DirectRetreat,Automatic retreat orders use Direct Retreat.,Automatic retreat orders use Direct Retreat.,graphics/automatic_orders/hullmods/direct_retreat.png
